province,max,min,rain,humidi,date
Ho Chi Minh City,28,18,0,69,1/11/2009
Ho Chi Minh City,35,25,0.1,61,1/11/2010
Ho Chi Minh City,32,22,0,73,1/11/2011
Ho Chi Minh City,28,24,0.4,75,1/11/2012
Ho Chi Minh City,33,24,2.8,75,1/11/2013
Ho Chi Minh City,33,24,0,63,1/11/2014
Ho Chi Minh City,33,24,0.1,69,1/11/2015
Ho Chi Minh City,33,25,0,68,1/11/2016
Ho Chi Minh City,31,25,3,75,1/11/2017
Ho Chi Minh City,35,25,0,57,1/11/2018
Ho Chi Minh City,33,25,0,61,1/11/2019
Ho Chi Minh City,34,24,0,64,1/11/2020
Ho Chi Minh City,33,23,0,59,1/11/2021
Ho Chi Minh City,29,19,0,69,1/12/2009
Ho Chi Minh City,34,25,0,61,1/12/2010
Ho Chi Minh City,32,23,0.4,75,1/12/2011
Ho Chi Minh City,32,23,3.1,75,1/12/2012
Ho Chi Minh City,33,24,0,71,1/12/2013
Ho Chi Minh City,33,25,1.4,70,1/12/2014
Ho Chi Minh City,34,24,2,70,1/12/2015
Ho Chi Minh City,34,25,0,68,1/12/2016
Ho Chi Minh City,32,25,0,75,1/12/2017
Ho Chi Minh City,33,23,0,54,1/12/2018
Ho Chi Minh City,34,25,1.8,62,1/12/2019
Ho Chi Minh City,33,24,0,67,1/12/2020
Ho Chi Minh City,31,22,0,56,1/12/2021
Ho Chi Minh City,30,18,0,65,1/15/2009
Ho Chi Minh City,33,22,0,60,1/15/2010
Ho Chi Minh City,33,23,0,71,1/15/2011
Ho Chi Minh City,32,24,2.1,72,1/15/2012
Ho Chi Minh City,33,23,0.1,72,1/15/2013
Ho Chi Minh City,34,21,0,63,1/15/2014
Ho Chi Minh City,35,23,0,56,1/15/2015
Ho Chi Minh City,34,26,0,65,1/15/2016
Ho Chi Minh City,31,25,34.7,83,1/15/2017
Ho Chi Minh City,33,24,0,61,1/15/2018
Ho Chi Minh City,34,25,0,62,1/15/2019
Ho Chi Minh City,34,24,0,63,1/15/2020
Ho Chi Minh City,32,23,0,67,1/15/2021
Ho Chi Minh City,32,20,0,66,1/9/2009
Ho Chi Minh City,33,24,0,64,1/9/2010
Ho Chi Minh City,32,23,0,72,1/9/2011
Ho Chi Minh City,32,22,0.4,67,1/9/2012
Ho Chi Minh City,33,24,4.3,78,1/9/2013
Ho Chi Minh City,31,23,0.1,68,1/9/2014
Ho Chi Minh City,34,24,0,66,1/9/2015
Ho Chi Minh City,34,25,0,63,1/9/2016
Ho Chi Minh City,34,24,0,68,1/9/2017
Ho Chi Minh City,33,26,0.1,72,1/9/2018
Ho Chi Minh City,34,25,0,64,1/9/2019
Ho Chi Minh City,36,26,0,57,1/9/2020
Ho Chi Minh City,33,23,0,60,1/9/2021
Ho Chi Minh City,31,20,0,67,1/16/2009
Ho Chi Minh City,33,22,0,55,1/16/2010
Ho Chi Minh City,31,22,0.3,71,1/16/2011
Ho Chi Minh City,33,24,4.3,75,1/16/2012
Ho Chi Minh City,33,23,0,67,1/16/2013
Ho Chi Minh City,32,20,0,63,1/16/2014
Ho Chi Minh City,34,22,0,61,1/16/2015
Ho Chi Minh City,34,25,1.6,69,1/16/2016
Ho Chi Minh City,30,24,4.3,80,1/16/2017
Ho Chi Minh City,31,25,1.1,69,1/16/2018
Ho Chi Minh City,34,26,0,59,1/16/2019
Ho Chi Minh City,35,24,0,61,1/16/2020
Ho Chi Minh City,33,23,0,67,1/16/2021
Ho Chi Minh City,28,22,1.8,83,1/2/2009
Ho Chi Minh City,32,24,0,61,1/2/2010
Ho Chi Minh City,33,23,0.1,74,1/2/2011
Ho Chi Minh City,31,24,1.3,78,1/2/2012
Ho Chi Minh City,34,24,0.3,68,1/2/2013
Ho Chi Minh City,31,23,0,75,1/2/2014
Ho Chi Minh City,29,21,0.5,73,1/2/2015
Ho Chi Minh City,34,24,0.4,62,1/2/2016
Ho Chi Minh City,32,24,4.8,72,1/2/2017
Ho Chi Minh City,33,23,0,62,1/2/2018
Ho Chi Minh City,26,23,21.2,80,1/2/2019
Ho Chi Minh City,35,24,0,56,1/2/2020
Ho Chi Minh City,29,23,0,67,1/2/2021
Ho Chi Minh City,29,21,0,63,1/13/2009
Ho Chi Minh City,33,23,0,62,1/13/2010
Ho Chi Minh City,32,22,1.4,76,1/13/2011
Ho Chi Minh City,32,24,2.6,75,1/13/2012
Ho Chi Minh City,33,23,0.1,73,1/13/2013
Ho Chi Minh City,33,23,0.4,71,1/13/2014
Ho Chi Minh City,32,24,3.2,72,1/13/2015
Ho Chi Minh City,34,25,0,61,1/13/2016
Ho Chi Minh City,33,25,0.1,71,1/13/2017
Ho Chi Minh City,32,22,0,56,1/13/2018
Ho Chi Minh City,34,25,8,64,1/13/2019
Ho Chi Minh City,35,24,0,58,1/13/2020
Ho Chi Minh City,30,21,0,60,1/13/2021
Ho Chi Minh City,36,22,0,66,1/19/2009
Ho Chi Minh City,24,22,23.2,84,1/19/2010
Ho Chi Minh City,33,21,0,64,1/19/2011
Ho Chi Minh City,32,24,4.8,77,1/19/2012
Ho Chi Minh City,33,22,0,64,1/19/2013
Ho Chi Minh City,31,19,0,58,1/19/2014
Ho Chi Minh City,31,22,0,60,1/19/2015
Ho Chi Minh City,34,26,0.7,68,1/19/2016
Ho Chi Minh City,33,25,1.2,65,1/19/2017
Ho Chi Minh City,31,25,4.2,69,1/19/2018
Ho Chi Minh City,35,24,0,56,1/19/2019
Ho Chi Minh City,34,24,0,60,1/19/2020
Ho Chi Minh City,31,20,0,55,1/19/2021
Ho Chi Minh City,36,22,0,67,1/20/2009
Ho Chi Minh City,25,22,8.1,93,1/20/2010
Ho Chi Minh City,34,23,0,67,1/20/2011
Ho Chi Minh City,33,24,0.3,74,1/20/2012
Ho Chi Minh City,34,23,0,65,1/20/2013
Ho Chi Minh City,30,18,0,62,1/20/2014
Ho Chi Minh City,32,22,0,58,1/20/2015
Ho Chi Minh City,35,26,0,63,1/20/2016
Ho Chi Minh City,32,25,6,69,1/20/2017
Ho Chi Minh City,34,24,0.1,65,1/20/2018
Ho Chi Minh City,35,25,0,58,1/20/2019
Ho Chi Minh City,35,24,0,57,1/20/2020
Ho Chi Minh City,33,23,0,60,1/20/2021
Ho Chi Minh City,30,18,0,64,1/14/2009
Ho Chi Minh City,32,22,0,58,1/14/2010
Ho Chi Minh City,32,23,0.3,74,1/14/2011
Ho Chi Minh City,33,24,2.7,71,1/14/2012
Ho Chi Minh City,32,23,0.9,74,1/14/2013
Ho Chi Minh City,31,21,0,67,1/14/2014
Ho Chi Minh City,35,23,0,68,1/14/2015
Ho Chi Minh City,35,25,0,59,1/14/2016
Ho Chi Minh City,33,25,12.3,75,1/14/2017
Ho Chi Minh City,32,23,0,58,1/14/2018
Ho Chi Minh City,35,25,0,58,1/14/2019
Ho Chi Minh City,34,24,0,55,1/14/2020
Ho Chi Minh City,31,22,0,68,1/14/2021
Ho Chi Minh City,35,20,0,66,1/17/2009
Ho Chi Minh City,33,23,0,56,1/17/2010
Ho Chi Minh City,32,20,0,67,1/17/2011
Ho Chi Minh City,32,24,9.3,77,1/17/2012
Ho Chi Minh City,32,22,0,65,1/17/2013
Ho Chi Minh City,34,20,0,66,1/17/2014
Ho Chi Minh City,31,22,0,61,1/17/2015
Ho Chi Minh City,34,25,0,70,1/17/2016
Ho Chi Minh City,33,24,0.4,70,1/17/2017
Ho Chi Minh City,30,25,0,74,1/17/2018
Ho Chi Minh City,33,25,0.4,59,1/17/2019
Ho Chi Minh City,35,25,0,62,1/17/2020
Ho Chi Minh City,33,23,0,62,1/17/2021
Ho Chi Minh City,29,24,0.2,75,1/23/2009
Ho Chi Minh City,33,23,0.2,71,1/23/2010
Ho Chi Minh City,33,24,11.8,76,1/23/2011
Ho Chi Minh City,32,23,2.6,72,1/23/2012
Ho Chi Minh City,33,24,1.2,71,1/23/2013
Ho Chi Minh City,28,19,0,62,1/23/2014
Ho Chi Minh City,33,22,0,61,1/23/2015
Ho Chi Minh City,35,26,0,65,1/23/2016
Ho Chi Minh City,32,23,0,64,1/23/2017
Ho Chi Minh City,32,25,1.4,73,1/23/2018
Ho Chi Minh City,34,23,0.1,57,1/23/2019
Ho Chi Minh City,35,24,0,56,1/23/2020
Ho Chi Minh City,25,18,31.5,90,1/23/2021
Ho Chi Minh City,34,23,0,67,1/22/2009
Ho Chi Minh City,32,24,1.3,77,1/22/2010
Ho Chi Minh City,34,23,6.6,75,1/22/2011
Ho Chi Minh City,33,23,3,70,1/22/2012
Ho Chi Minh City,34,24,8,68,1/22/2013
Ho Chi Minh City,31,18,0,58,1/22/2014
Ho Chi Minh City,32,22,0,64,1/22/2015
Ho Chi Minh City,35,25,0,66,1/22/2016
Ho Chi Minh City,32,23,0.6,69,1/22/2017
Ho Chi Minh City,33,25,14.1,73,1/22/2018
Ho Chi Minh City,33,25,0.1,61,1/22/2019
Ho Chi Minh City,35,25,0,59,1/22/2020
Ho Chi Minh City,31,24,5.1,70,1/22/2021
Ho Chi Minh City,29,24,0.1,72,1/24/2009
Ho Chi Minh City,34,23,0,64,1/24/2010
Ho Chi Minh City,31,23,1.8,75,1/24/2011
Ho Chi Minh City,34,24,1.8,72,1/24/2012
Ho Chi Minh City,33,24,0,70,1/24/2013
Ho Chi Minh City,33,18,0,62,1/24/2014
Ho Chi Minh City,34,23,0,61,1/24/2015
Ho Chi Minh City,33,26,0.2,59,1/24/2016
Ho Chi Minh City,33,24,0.3,64,1/24/2017
Ho Chi Minh City,33,25,6.2,72,1/24/2018
Ho Chi Minh City,35,23,0,56,1/24/2019
Ho Chi Minh City,36,24,0,56,1/24/2020
Ho Chi Minh City,31,24,3.8,71,1/24/2021
Ho Chi Minh City,33,24,0,65,1/25/2009
Ho Chi Minh City,34,23,0.1,65,1/25/2010
Ho Chi Minh City,33,23,0.6,67,1/25/2011
Ho Chi Minh City,33,24,4.3,74,1/25/2012
Ho Chi Minh City,33,23,0.1,70,1/25/2013
Ho Chi Minh City,30,19,0,71,1/25/2014
Ho Chi Minh City,35,23,0,60,1/25/2015
Ho Chi Minh City,33,23,0,49,1/25/2016
Ho Chi Minh City,33,25,9.1,70,1/25/2017
Ho Chi Minh City,33,26,0,66,1/25/2018
Ho Chi Minh City,34,23,0,55,1/25/2019
Ho Chi Minh City,34,24,0,63,1/25/2020
Ho Chi Minh City,32,24,0,66,1/25/2021
Ho Chi Minh City,36,21,0,64,1/21/2009
Ho Chi Minh City,31,22,0,79,1/21/2010
Ho Chi Minh City,33,23,7.7,74,1/21/2011
Ho Chi Minh City,33,23,0,68,1/21/2012
Ho Chi Minh City,35,25,0,64,1/21/2013
Ho Chi Minh City,30,20,0,62,1/21/2014
Ho Chi Minh City,34,23,0,62,1/21/2015
Ho Chi Minh City,35,25,0,61,1/21/2016
Ho Chi Minh City,32,24,6.1,72,1/21/2017
Ho Chi Minh City,34,25,1.1,66,1/21/2018
Ho Chi Minh City,34,25,0,59,1/21/2019
Ho Chi Minh City,35,24,0,55,1/21/2020
Ho Chi Minh City,33,24,0,65,1/21/2021
Ho Chi Minh City,34,23,0,60,1/28/2009
Ho Chi Minh City,33,24,0,60,1/28/2010
Ho Chi Minh City,34,23,3.8,69,1/28/2011
Ho Chi Minh City,31,24,3.5,75,1/28/2012
Ho Chi Minh City,33,24,0,66,1/28/2013
Ho Chi Minh City,31,21,0,69,1/28/2014
Ho Chi Minh City,35,24,0,62,1/28/2015
Ho Chi Minh City,34,26,0,60,1/28/2016
Ho Chi Minh City,32,22,0,63,1/28/2017
Ho Chi Minh City,33,25,15.3,74,1/28/2018
Ho Chi Minh City,35,23,0,55,1/28/2019
Ho Chi Minh City,34,24,0,69,1/28/2020
Ho Chi Minh City,33,25,0,63,1/28/2021
Ho Chi Minh City,35,22,0,60,1/29/2009
Ho Chi Minh City,33,26,0,57,1/29/2010
Ho Chi Minh City,34,22,1.5,62,1/29/2011
Ho Chi Minh City,32,24,16.5,77,1/29/2012
Ho Chi Minh City,33,24,0,67,1/29/2013
Ho Chi Minh City,30,22,0,67,1/29/2014
Ho Chi Minh City,36,21,0,61,1/29/2015
Ho Chi Minh City,35,26,0,65,1/29/2016
Ho Chi Minh City,32,24,0,68,1/29/2017
Ho Chi Minh City,33,25,0.2,72,1/29/2018
Ho Chi Minh City,34,24,0,59,1/29/2019
Ho Chi Minh City,34,23,0,69,1/29/2020
Ho Chi Minh City,34,24,0,56,1/29/2021
Ho Chi Minh City,36,24,0,62,1/31/2009
Ho Chi Minh City,36,25,1,57,1/31/2010
Ho Chi Minh City,34,22,0,64,1/31/2011
Ho Chi Minh City,34,24,4.4,72,1/31/2012
Ho Chi Minh City,35,24,0,62,1/31/2013
Ho Chi Minh City,31,23,0,67,1/31/2014
Ho Chi Minh City,35,22,0,56,1/31/2015
Ho Chi Minh City,34,26,0,57,1/31/2016
Ho Chi Minh City,32,23,0,66,1/31/2017
Ho Chi Minh City,34,26,0.2,65,1/31/2018
Ho Chi Minh City,34,25,0,54,1/31/2019
Ho Chi Minh City,33,23,0,58,1/31/2020
Ho Chi Minh City,34,24,0,56,1/31/2021
Ho Chi Minh City,35,23,0,63,1/26/2009
Ho Chi Minh City,34,25,0.2,65,1/26/2010
Ho Chi Minh City,34,23,1.4,66,1/26/2011
Ho Chi Minh City,32,23,0.1,71,1/26/2012
Ho Chi Minh City,33,24,0,68,1/26/2013
Ho Chi Minh City,31,20,0,69,1/26/2014
Ho Chi Minh City,35,23,0,60,1/26/2015
Ho Chi Minh City,32,23,0,54,1/26/2016
Ho Chi Minh City,32,25,2.7,69,1/26/2017
Ho Chi Minh City,34,25,1,66,1/26/2018
Ho Chi Minh City,34,22,0,58,1/26/2019
Ho Chi Minh City,35,24,0,68,1/26/2020
Ho Chi Minh City,33,24,0,63,1/26/2021
Ho Chi Minh City,35,23,0,62,2/1/2009
Ho Chi Minh City,36,24,0,63,2/1/2010
Ho Chi Minh City,35,23,0,64,2/1/2011
Ho Chi Minh City,34,24,1.5,70,2/1/2012
Ho Chi Minh City,35,24,0,62,2/1/2013
Ho Chi Minh City,32,21,0,68,2/1/2014
Ho Chi Minh City,33,23,0,52,2/1/2015
Ho Chi Minh City,35,25,0,60,2/1/2016
Ho Chi Minh City,34,24,0.4,66,2/1/2017
Ho Chi Minh City,35,25,0.2,60,2/1/2018
Ho Chi Minh City,35,25,0,54,2/1/2019
Ho Chi Minh City,35,23,0,55,2/1/2020
Ho Chi Minh City,34,25,0,60,2/1/2021
Ho Chi Minh City,34,22,0,58,2/2/2009
Ho Chi Minh City,34,24,0,65,2/2/2010
Ho Chi Minh City,34,23,0,65,2/2/2011
Ho Chi Minh City,34,25,3.9,69,2/2/2012
Ho Chi Minh City,35,24,0,56,2/2/2013
Ho Chi Minh City,33,22,0,68,2/2/2014
Ho Chi Minh City,33,22,0,51,2/2/2015
Ho Chi Minh City,35,26,0,56,2/2/2016
Ho Chi Minh City,33,25,11.9,74,2/2/2017
Ho Chi Minh City,33,25,0,59,2/2/2018
Ho Chi Minh City,35,26,0,55,2/2/2019
Ho Chi Minh City,36,23,0,53,2/2/2020
Ho Chi Minh City,34,25,0,60,2/2/2021
Ho Chi Minh City,33,23,0,65,2/3/2009
Ho Chi Minh City,33,26,0,62,2/3/2010
Ho Chi Minh City,34,23,0,65,2/3/2011
Ho Chi Minh City,33,26,0,71,2/3/2012
Ho Chi Minh City,36,25,0,56,2/3/2013
Ho Chi Minh City,37,21,0,67,2/3/2014
Ho Chi Minh City,33,22,0,56,2/3/2015
Ho Chi Minh City,35,26,0,54,2/3/2016
Ho Chi Minh City,32,25,3.3,77,2/3/2017
Ho Chi Minh City,34,24,0,57,2/3/2018
Ho Chi Minh City,33,25,0,61,2/3/2019
Ho Chi Minh City,35,23,0,55,2/3/2020
Ho Chi Minh City,34,23,0,60,2/3/2021
Ho Chi Minh City,34,22,0,65,2/5/2009
Ho Chi Minh City,37,25,0,57,2/5/2010
Ho Chi Minh City,34,22,0,67,2/5/2011
Ho Chi Minh City,35,25,0.8,66,2/5/2012
Ho Chi Minh City,36,25,0,62,2/5/2013
Ho Chi Minh City,33,22,0.3,73,2/5/2014
Ho Chi Minh City,34,22,0,54,2/5/2015
Ho Chi Minh City,35,26,0,57,2/5/2016
Ho Chi Minh City,32,24,8.8,76,2/5/2017
Ho Chi Minh City,33,24,0,52,2/5/2018
Ho Chi Minh City,34,24,0,65,2/5/2019
Ho Chi Minh City,35,23,0,53,2/5/2020
Ho Chi Minh City,34,24,0,59,2/5/2021
Ho Chi Minh City,35,22,0,62,1/30/2009
Ho Chi Minh City,34,25,0,57,1/30/2010
Ho Chi Minh City,34,22,0,62,1/30/2011
Ho Chi Minh City,33,24,4,73,1/30/2012
Ho Chi Minh City,35,24,0,61,1/30/2013
Ho Chi Minh City,32,21,0,66,1/30/2014
Ho Chi Minh City,35,23,0,62,1/30/2015
Ho Chi Minh City,34,25,0,63,1/30/2016
Ho Chi Minh City,32,24,0,67,1/30/2017
Ho Chi Minh City,34,26,0.1,67,1/30/2018
Ho Chi Minh City,36,25,0,53,1/30/2019
Ho Chi Minh City,33,23,0,66,1/30/2020
Ho Chi Minh City,32,24,0,57,1/30/2021
Ho Chi Minh City,36,22,0,57,2/7/2009
Ho Chi Minh City,36,25,0,60,2/7/2010
Ho Chi Minh City,34,22,0,65,2/7/2011
Ho Chi Minh City,34,24,1.6,72,2/7/2012
Ho Chi Minh City,36,25,0,69,2/7/2013
Ho Chi Minh City,35,20,0,73,2/7/2014
Ho Chi Minh City,33,22,0,57,2/7/2015
Ho Chi Minh City,34,21,0,50,2/7/2016
Ho Chi Minh City,33,23,0,67,2/7/2017
Ho Chi Minh City,31,24,0,55,2/7/2018
Ho Chi Minh City,35,25,0,68,2/7/2019
Ho Chi Minh City,37,24,0,55,2/7/2020
Ho Chi Minh City,33,26,0.2,56,2/7/2021
Ho Chi Minh City,35,23,0,57,2/8/2009
Ho Chi Minh City,36,25,0,56,2/8/2010
Ho Chi Minh City,36,21,0,63,2/8/2011
Ho Chi Minh City,35,24,1.5,72,2/8/2012
Ho Chi Minh City,36,24,2.2,71,2/8/2013
Ho Chi Minh City,34,20,0,72,2/8/2014
Ho Chi Minh City,33,22,0,56,2/8/2015
Ho Chi Minh City,33,20,0,52,2/8/2016
Ho Chi Minh City,35,23,0,68,2/8/2017
Ho Chi Minh City,32,22,0,58,2/8/2018
Ho Chi Minh City,38,25,0,68,2/8/2019
Ho Chi Minh City,35,23,0,57,2/8/2020
Ho Chi Minh City,33,24,1.7,64,2/8/2021
Ho Chi Minh City,35,22,0,61,2/9/2009
Ho Chi Minh City,36,24,0,55,2/9/2010
Ho Chi Minh City,36,22,0,63,2/9/2011
Ho Chi Minh City,34,24,0,70,2/9/2012
Ho Chi Minh City,36,24,0.2,65,2/9/2013
Ho Chi Minh City,37,20,0,66,2/9/2014
Ho Chi Minh City,33,21,0,55,2/9/2015
Ho Chi Minh City,34,22,0,56,2/9/2016
Ho Chi Minh City,34,23,0,68,2/9/2017
Ho Chi Minh City,35,24,0,62,2/9/2018
Ho Chi Minh City,37,25,0,66,2/9/2019
Ho Chi Minh City,26,23,1.1,64,2/9/2020
Ho Chi Minh City,34,24,0.4,64,2/9/2021
Ho Chi Minh City,35,21,0,68,1/18/2009
Ho Chi Minh City,33,23,0.7,62,1/18/2010
Ho Chi Minh City,33,22,0,67,1/18/2011
Ho Chi Minh City,32,24,19.3,78,1/18/2012
Ho Chi Minh City,32,22,0,63,1/18/2013
Ho Chi Minh City,31,20,0,62,1/18/2014
Ho Chi Minh City,31,21,0,60,1/18/2015
Ho Chi Minh City,35,25,0,70,1/18/2016
Ho Chi Minh City,32,24,0,66,1/18/2017
Ho Chi Minh City,34,24,0.6,67,1/18/2018
Ho Chi Minh City,33,25,0,56,1/18/2019
Ho Chi Minh City,35,24,0,60,1/18/2020
Ho Chi Minh City,32,22,0,54,1/18/2021
Ho Chi Minh City,36,22,0,55,2/6/2009
Ho Chi Minh City,36,25,0,60,2/6/2010
Ho Chi Minh City,34,23,0,65,2/6/2011
Ho Chi Minh City,34,24,0.9,71,2/6/2012
Ho Chi Minh City,35,25,0,66,2/6/2013
Ho Chi Minh City,34,22,0,73,2/6/2014
Ho Chi Minh City,34,22,0,51,2/6/2015
Ho Chi Minh City,34,24,0.7,54,2/6/2016
Ho Chi Minh City,33,23,0.5,72,2/6/2017
Ho Chi Minh City,32,22,0,52,2/6/2018
Ho Chi Minh City,34,24,0,65,2/6/2019
Ho Chi Minh City,35,23,0,48,2/6/2020
Ho Chi Minh City,33,24,0,60,2/6/2021
Ho Chi Minh City,27,24,7.9,86,2/11/2009
Ho Chi Minh City,37,24,0,59,2/11/2010
Ho Chi Minh City,36,22,0,68,2/11/2011
Ho Chi Minh City,35,25,1.4,67,2/11/2012
Ho Chi Minh City,35,25,0,59,2/11/2013
Ho Chi Minh City,34,24,4.8,72,2/11/2014
Ho Chi Minh City,34,22,0,57,2/11/2015
Ho Chi Minh City,36,24,0,62,2/11/2016
Ho Chi Minh City,34,23,0,57,2/11/2017
Ho Chi Minh City,33,23,0,65,2/11/2018
Ho Chi Minh City,35,23,0,52,2/11/2019
Ho Chi Minh City,34,25,0,57,2/11/2020
Ho Chi Minh City,32,24,1.4,67,2/11/2021
Ho Chi Minh City,30,23,7.4,78,2/12/2009
Ho Chi Minh City,38,26,0,56,2/12/2010
Ho Chi Minh City,35,23,0,68,2/12/2011
Ho Chi Minh City,34,25,0.3,67,2/12/2012
Ho Chi Minh City,37,25,0,60,2/12/2013
Ho Chi Minh City,35,24,0.5,69,2/12/2014
Ho Chi Minh City,33,21,0,56,2/12/2015
Ho Chi Minh City,36,26,0,65,2/12/2016
Ho Chi Minh City,34,21,0,54,2/12/2017
Ho Chi Minh City,36,24,0,54,2/12/2018
Ho Chi Minh City,34,26,0,52,2/12/2019
Ho Chi Minh City,36,26,0,56,2/12/2020
Ho Chi Minh City,33,23,0,66,2/12/2021
Ho Chi Minh City,35,23,0.8,71,2/13/2009
Ho Chi Minh City,38,26,0,54,2/13/2010
Ho Chi Minh City,35,23,0.7,68,2/13/2011
Ho Chi Minh City,33,24,4.3,68,2/13/2012
